R   | alpha_E = sum v^2/sum u^2 (isqrt) | alpha_E (exact sqrt) | 1/alpha_E | mean rel. deficit | deficit*R
----+----------------------------------+----------------------+----------+-------------------+-----------
   1 |                      0.000000000 |            0.000000000 |        inf |       0.000000000 |   0.000000
   1 |                      0.000000000 |            0.000000000 |        inf |       0.000000000 |   0.000000
   2 |                      1.000000000 |            1.000000000 |   1.000000 |       0.000000000 |   0.000000
   2 |                      1.000000000 |            1.000000000 |   1.000000 |       0.000000000 |   0.000000
   3 |                      0.727272727 |            1.454545455 |   1.375000 |       0.296296296 |   0.888889
   4 |                      1.000000000 |            1.666666667 |   1.000000 |       0.250000000 |   1.000000
   5 |                      1.422222222 |            1.777777778 |   0.703125 |       0.128000000 |   0.640000
   6 |                      1.315789474 |            1.842105263 |   0.760000 |       0.185185185 |   1.111111
   7 |                      1.478991597 |            1.882352941 |   0.676136 |       0.139941691 |   0.979592
   8 |                      1.363636364 |            1.909090909 |   0.733333 |       0.187500000 |   1.500000
   9 |                      1.445783133 |            1.927710843 |   0.691667 |       0.164609053 |   1.481481
  10 |                      1.635294118 |            1.941176471 |   0.611511 |       0.104000000 |   1.040000
  11 |                      1.614190687 |            1.951219512 |   0.619505 |       0.114199850 |   1.256198
  12 |                      1.616438356 |            1.958904110 |   0.618644 |       0.115740741 |   1.388889
  13 |                      1.705802969 |            1.964912281 |   0.586234 |       0.087391898 |   1.136095
  14 |                      1.580086580 |            1.969696970 |   0.632877 |       0.131195335 |   1.836735
  15 |                      1.783259912 |            1.973568282 |   0.560771 |       0.064000000 |   0.960000
  16 |                      1.656976744 |            1.976744186 |   0.603509 |       0.107421875 |   1.718750
  17 |                      1.780473014 |            1.979381443 |   0.561649 |       0.066761653 |   1.134948
  18 |                      1.728016360 |            1.981595092 |   0.578698 |       0.085048011 |   1.530864
  19 |                      1.729447586 |            1.983471074 |   0.578219 |       0.085143607 |   1.617729
  20 |                      1.800000000 |            1.985074627 |   0.555556 |       0.062000000 |   1.240000
  21 |                      1.782650758 |            1.986455982 |   0.560962 |       0.068243170 |   1.433107
  22 |                      1.767676768 |            1.987654321 |   0.565714 |       0.073628850 |   1.619835
  23 |                      1.786293294 |            1.988700565 |   0.559818 |       0.067724172 |   1.557656
  24 |                      1.733564014 |            1.989619377 |   0.576846 |       0.085648148 |   2.055556
  25 |                      1.860287081 |            1.990430622 |   0.537551 |       0.043520000 |   1.088000
  26 |                      1.812797822 |            1.991150442 |   0.551633 |       0.059626764 |   1.550296
  27 |                      1.854385165 |            1.991792066 |   0.539262 |       0.045927958 |   1.240055
  28 |                      1.822246456 |            1.992366412 |   0.548773 |       0.056851312 |   1.591837
  29 |                      1.834826359 |            1.992882562 |   0.545011 |       0.052810693 |   1.531510
  30 |                      1.857649667 |            1.993348115 |   0.538315 |       0.045333333 |   1.360000
  50 |                      1.904556355 |            1.997601918 |   0.525057 |       0.031040000 |   1.552000
  75 |                      1.943998578 |            1.998933712 |   0.514404 |       0.018318222 |   1.373867
 100 |                      1.950497900 |            1.999400120 |   0.512690 |       0.016304000 |   1.630400
 125 |                      1.964255711 |            1.999616049 |   0.509099 |       0.011788288 |   1.473536
 150 |                      1.967963737 |            1.999733357 |   0.508139 |       0.010590815 |   1.588622
 175 |                      1.975619272 |            1.999804094 |   0.506170 |       0.008062134 |   1.410873
 200 |                      1.976955152 |            1.999850007 |   0.505828 |       0.007632000 |   1.526400
 300 |                      1.984315015 |            1.999933335 |   0.503952 |       0.005206222 |   1.561867
 400 |                      1.987521281 |            1.999962500 |   0.503139 |       0.004147125 |   1.658850
 500 |                      1.990253006 |            1.999976000 |   0.502449 |       0.003241024 |   1.620512
 600 |                      1.991742268 |            1.999983333 |   0.502073 |       0.002747037 |   1.648222
 700 |                      1.992684368 |            1.999987755 |   0.501836 |       0.002434472 |   1.704131
 800 |                      1.993988769 |            1.999990625 |   0.501507 |       0.002000625 |   1.600500
 900 |                      1.994575882 |            1.999992593 |   0.501360 |       0.001805575 |   1.625017
1000 |                      1.995133026 |            1.999994000 |   0.501220 |       0.001620328 |   1.620328
1000 |                      1.995133026 |            1.999994000 |   0.501220 |       0.001620328 |   1.620328
