frame,tick,xcmN,vcmN,nIsland,dxIslandSum,nProp,dxPropSum,nSeam,xIsland,vIsland,chiefX,nBound,coreX
1,462,2.000000,0.000000,0,0.000000,0,0.000000,0,2.000000,0.000000,2.000000,6,2.000000
2,924,1.944444,-0.055556,0,0.000000,0,-0.500000,0,2.000000,0.000000,2.000000,6,2.000000
3,1386,3.888889,1.944444,0,0.000000,3,17.500000,0,2.000000,0.000000,2.000000,6,2.000000
4,1848,11.444444,7.555556,1,24.000000,3,44.000000,2,6.000000,4.000000,2.000000,5,2.000000
5,2310,8.555556,-2.888889,1,-10.000000,2,-16.000000,1,4.333333,-1.666667,2.000000,5,2.000000
6,2772,9.277778,0.722222,1,-11.000000,2,17.500000,0,2.500000,-1.833333,2.000000,6,2.500000
7,3234,12.555556,3.277778,6,69.000000,3,-39.500000,4,14.000000,11.500000,24.000000,3,21.000000
8,3696,16.944444,4.388889,6,6.000000,3,33.500000,1,15.000000,1.000000,26.000000,3,23.000000
9,4158,16.888889,-0.055556,6,9.000000,3,-9.500000,4,16.500000,1.500000,20.000000,4,23.500000
10,4620,17.722222,0.833333,6,-1.000000,3,8.500000,1,16.333333,-0.166667,7.000000,2,7.500000
11,5082,13.555556,-4.166667,6,-9.000000,3,-28.500000,2,14.833333,-1.500000,11.000000,4,9.750000
12,5544,18.055556,4.500000,5,6.000000,3,34.500000,3,15.833333,1.000000,5.000000,3,7.333333
13,6006,10.555556,-7.500000,6,-35.000000,3,-32.500000,4,10.000000,-5.833333,25.000000,1,25.000000
14,6468,7.722222,-2.833333,6,-13.000000,3,-12.500000,2,7.833333,-2.166667,2.000000,5,4.200000
15,6930,12.000000,4.277778,6,15.000000,3,23.500000,2,10.333333,2.500000,0.000000,3,5.666667
16,7392,10.555556,-1.444444,6,-1.000000,3,-12.000000,1,10.166667,-0.166667,7.000000,4,5.750000
17,7854,13.611111,3.055556,6,28.000000,3,-0.500000,1,14.833333,4.666667,5.000000,3,9.000000
18,8316,11.944444,-1.666667,6,-12.000000,2,-3.000000,1,12.833333,-2.000000,23.000000,3,20.000000
19,8778,14.500000,2.555556,6,-2.000000,3,25.000000,3,12.500000,-0.333333,17.000000,5,14.400000
20,9240,12.111111,-2.388889,6,-2.000000,3,-19.500000,4,12.166667,-0.333333,25.000000,3,22.666667
21,9702,14.000000,1.888889,5,18.000000,3,-1.000000,2,15.166667,3.000000,23.000000,4,22.000000
22,10164,13.666667,-0.333333,6,-3.000000,3,0.000000,2,14.666667,-0.500000,16.000000,4,21.500000
23,10626,16.388889,2.722222,6,13.000000,3,11.500000,3,16.833333,2.166667,8.000000,4,12.750000
24,11088,15.277778,-1.111111,6,-24.000000,3,14.000000,1,12.833333,-4.000000,16.000000,4,17.750000
25,11550,15.888889,0.611111,6,19.000000,2,-13.500000,5,16.000000,3.166667,8.000000,3,6.666667
26,12012,12.444444,-3.444444,5,-13.000000,3,-18.000000,4,13.833333,-2.166667,25.000000,2,23.000000
27,12474,12.277778,-0.166667,6,1.000000,3,-2.500000,2,14.000000,0.166667,8.000000,5,12.400000
28,12936,10.833333,-1.444444,6,-12.000000,3,-1.000000,2,12.000000,-2.000000,9.000000,5,9.200000
29,13398,9.888889,-0.944444,5,-17.000000,3,8.500000,1,9.166667,-2.833333,12.000000,6,9.166667
30,13860,14.833333,4.944444,6,28.000000,3,16.500000,2,13.833333,4.666667,13.000000,6,13.833333
