frame,tick,xcmN,vcmN,nIsland,dxIslandSum,nProp,dxPropSum,nSeam,xIsland,vIsland,chiefX,nBound,coreX
1,462,2.000000,0.000000,0,0.000000,0,0.000000,0,2.000000,0.000000,2.000000,6,2.000000
2,924,1.944444,-0.055556,0,0.000000,0,-0.500000,0,2.000000,0.000000,2.000000,6,2.000000
3,1386,3.888889,1.944444,0,0.000000,3,17.500000,0,2.000000,0.000000,2.000000,6,2.000000
4,1848,11.444444,7.555556,1,24.000000,3,44.000000,2,6.000000,4.000000,2.000000,5,2.000000
5,2310,8.555556,-2.888889,1,-10.000000,2,-16.000000,1,4.333333,-1.666667,2.000000,5,2.000000
6,2772,9.277778,0.722222,1,-11.000000,2,17.500000,0,2.500000,-1.833333,2.000000,6,2.500000
7,3234,12.555556,3.277778,6,69.000000,3,-39.500000,4,14.000000,11.500000,24.000000,3,21.000000
8,3696,16.944444,4.388889,6,6.000000,3,33.500000,1,15.000000,1.000000,26.000000,3,23.000000
9,4158,16.888889,-0.055556,6,9.000000,3,-9.500000,4,16.500000,1.500000,20.000000,4,23.500000
10,4620,17.722222,0.833333,6,-1.000000,3,8.500000,1,16.333333,-0.166667,7.000000,2,7.500000
