frame,tick,d,dd,m0,m1,calls,s2b,pairs
1,785,4.000000,0.000000,0,0,0,0,0
2,1570,4.000000,0.000000,1,1,0,0,0
3,2355,4.000000,0.000000,27,27,0,0,0
4,3140,4.000000,0.000000,93,93,24,0,0
5,3925,4.000000,0.000000,251,251,48,0,0
6,4710,4.000000,0.000000,485,485,48,0,0
7,5495,4.000000,0.000000,747,747,24,0,0
8,6280,4.000000,0.000000,941,941,0,0,0
9,7065,4.000000,0.000000,941,941,0,0,0
10,7850,4.000000,0.000000,941,941,0,0,0
11,8635,4.000000,0.000000,941,941,0,0,0
12,9420,4.000000,0.000000,941,941,24,0,0
13,10205,4.000000,0.000000,941,941,48,0,0
14,10990,12.000000,8.000000,970,941,48,8,8
15,11775,12.000000,-8.000000,1494,941,9,9,0
16,12560,12.000000,0.000000,1882,941,0,0,0
17,13345,12.000000,0.000000,1882,941,0,0,0
18,14130,12.000000,0.000000,1882,941,0,0,0
19,14915,12.000000,0.000000,1882,941,0,0,0
20,15700,12.000000,0.000000,1882,941,24,0,0
21,16485,12.000000,0.000000,1882,941,48,0,0
22,17270,12.000000,0.000000,1882,941,48,0,0
23,18055,9.000000,-3.000000,1894,941,24,24,24
24,18840,9.000000,3.000000,2125,941,0,0,0
25,19625,9.000000,0.000000,2125,941,0,0,0
26,20410,9.000000,0.000000,2125,941,0,0,0
27,21195,9.000000,0.000000,2125,941,0,0,0
28,21980,9.000000,0.000000,2125,941,24,0,0
29,22765,9.000000,0.000000,2125,941,48,0,0
30,23550,9.000000,0.000000,2125,941,48,0,0
31,24335,9.000000,0.000000,2291,941,24,24,24
32,25120,9.000000,0.000000,2530,941,0,0,0
33,25905,9.000000,0.000000,2530,941,0,0,0
34,26690,9.000000,0.000000,2530,941,0,0,0
35,27475,9.000000,0.000000,2530,941,0,0,0
36,28260,9.000000,0.000000,2530,941,24,0,0
37,29045,9.000000,0.000000,2530,941,48,0,0
38,29830,1.000000,-8.000000,2220,941,48,16,16
39,30615,1.000000,8.000000,2501,941,9,9,0
40,31400,8.000000,7.000000,2030,1103,10,10,0
41,32185,5.099020,-9.900980,2021,675,25,25,0
42,32970,5.099020,2.900980,2100,706,56,56,0
43,33755,1.732051,-3.366969,2261,697,57,21,0
44,34540,22.293497,23.928415,2270,1077,123,44,0
45,35325,6.000000,-36.854943,2178,1407,111,44,0
