frame,tick,d,dd,m0,m1,calls,s2b,pairs
1,785,4.000000,0.000000,0,0,0,0,0
2,1570,4.000000,0.000000,1,1,0,0,0
3,2355,4.000000,0.000000,27,27,0,0,0
4,3140,4.000000,0.000000,93,93,24,0,0
5,3925,4.000000,0.000000,251,251,48,0,0
6,4710,4.000000,0.000000,485,485,48,0,0
7,5495,4.000000,0.000000,747,747,24,0,0
8,6280,4.000000,0.000000,941,941,0,0,0
9,7065,4.000000,0.000000,941,941,0,0,0
10,7850,4.000000,0.000000,941,941,0,0,0
11,8635,4.000000,0.000000,941,941,0,0,0
12,9420,4.000000,0.000000,941,941,24,0,0
13,10205,4.000000,0.000000,941,941,48,0,0
14,10990,12.000000,8.000000,970,941,48,8,8
15,11775,12.000000,-8.000000,1494,941,9,9,0
16,12560,12.000000,0.000000,1882,941,0,0,0
