frame,tick,xcmN,vcmN,predVcm,nIsland,dxIslandSum,nProp,dxPropSum,xIsland,vIsland
1,387,1.450000,0.000000,0.000000,0,0.000000,0,0.000000,1.062500,0.000000
2,774,1.450000,0.000000,0.000000,0,0.000000,0,0.000000,1.062500,0.000000
3,1161,1.450000,0.000000,0.000000,0,0.000000,0,0.000000,1.062500,0.000000
4,1548,1.450000,0.000000,0.000000,0,0.000000,0,0.000000,1.062500,0.000000
5,1935,1.450000,0.000000,0.000000,0,0.000000,0,0.000000,1.062500,0.000000
6,2322,1.450000,0.000000,0.000000,0,0.000000,0,0.000000,1.062500,0.000000
7,2709,1.450000,0.000000,0.000000,0,0.000000,0,0.000000,1.062500,0.000000
8,3096,1.650000,0.200000,0.200000,0,0.000000,3,4.000000,1.062500,0.000000
9,3483,1.650000,0.000000,0.000000,0,0.000000,0,0.000000,1.062500,0.000000
10,3870,1.650000,0.000000,0.000000,0,0.000000,0,0.000000,1.062500,0.000000
