frame,tick,measured,x,y,z,vx,vy,vz,max_body_span,max_pair_gap
1,278,0,7.000000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,0,0
2,556,0,7.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
3,834,0,8.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
4,1112,0,9.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
5,1390,0,10.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
6,1668,0,11.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
7,1946,0,11.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
8,2224,0,12.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
9,2502,0,12.600000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,1,0
10,2780,0,13.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
11,3058,0,14.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
12,3336,0,15.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
13,3614,0,15.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
14,3892,0,16.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
15,4170,0,17.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
16,4448,0,18.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
17,4726,0,18.200000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,1,0
18,5004,0,19.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
19,5282,0,19.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
20,5560,0,20.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
21,5838,0,21.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
22,6116,0,22.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
23,6394,0,23.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
24,6672,0,23.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
25,6950,0,23.800000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,1,0
26,7228,0,24.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
27,7506,0,25.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
28,7784,0,26.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
