frame,tick,xcmN,vcmN,nIsland,dxIslandSum,nProp,dxPropSum,nSeam,xIsland,vIsland,chiefX,nBound,coreX
1,462,1.666667,0.000000,0,0.000000,0,0.000000,0,2.000000,0.000000,2.000000,6,2.000000
2,924,1.666667,0.000000,0,0.000000,0,0.000000,0,2.000000,0.000000,2.000000,6,2.000000
3,1386,2.444444,0.777778,0,0.000000,2,7.000000,0,2.000000,0.000000,2.000000,6,2.000000
4,1848,12.333333,9.888889,2,39.000000,3,50.000000,3,8.500000,6.500000,2.000000,4,2.000000
5,2310,12.111111,-0.222222,2,-11.000000,1,9.000000,1,6.666667,-1.833333,2.000000,5,3.200000
6,2772,11.944444,-0.166667,2,1.000000,2,-2.500000,0,6.833333,0.166667,2.000000,4,2.000000
7,3234,14.166667,2.222222,6,22.000000,1,-2.000000,2,10.500000,3.666667,1.000000,3,2.000000
8,3696,17.722222,3.555556,6,23.000000,2,9.000000,3,14.333333,3.833333,26.000000,2,26.000000
9,4158,14.388889,-3.333333,6,7.000000,2,-37.000000,6,15.500000,1.166667,11.000000,4,11.000000
10,4620,13.944444,-0.444444,6,-24.000000,2,20.000000,4,11.500000,-4.000000,3.000000,4,7.750000
11,5082,20.277778,6.333333,6,57.000000,0,0.000000,2,21.000000,9.500000,7.000000,1,7.000000
12,5544,19.333333,-0.944444,6,-7.000000,3,-1.500000,1,19.833333,-1.166667,16.000000,6,19.833333
13,6006,12.555556,-6.777778,6,-37.000000,2,-24.000000,4,13.666667,-6.166667,0.000000,3,1.666667
14,6468,10.888889,-1.666667,5,-36.000000,3,21.000000,5,7.666667,-6.000000,0.000000,4,3.250000
15,6930,14.222222,3.333333,6,26.000000,2,4.000000,3,12.000000,4.333333,24.000000,3,18.000000
16,7392,13.055556,-1.166667,6,11.000000,2,-21.500000,3,13.833333,1.833333,3.000000,3,4.666667
17,7854,11.500000,-1.555556,6,-8.000000,3,-6.000000,2,12.500000,-1.333333,12.000000,6,12.500000
18,8316,12.666667,1.166667,5,2.000000,3,8.500000,2,12.833333,0.333333,25.000000,3,18.333333
19,8778,10.111111,-2.555556,5,-2.000000,2,-21.000000,3,12.500000,-0.333333,0.000000,2,2.000000
20,9240,11.944444,1.833333,6,-10.000000,2,26.500000,4,10.833333,-1.666667,1.000000,4,3.500000
21,9702,9.555556,-2.388889,6,-7.000000,3,-14.500000,4,9.666667,-1.166667,6.000000,5,6.800000
22,10164,16.111111,6.555556,6,45.000000,3,14.000000,2,17.166667,7.500000,21.000000,5,18.800000
23,10626,13.666667,-2.444444,6,-19.000000,3,-3.000000,0,14.000000,-3.166667,19.000000,4,19.250000
24,11088,13.666667,0.000000,5,-26.000000,3,26.000000,5,9.666667,-4.333333,2.000000,4,3.750000
25,11550,16.111111,2.444444,6,58.000000,3,-36.000000,5,19.333333,9.666667,17.000000,6,19.333333
26,12012,11.611111,-4.500000,6,-60.000000,3,19.500000,1,9.333333,-10.000000,4.000000,5,6.000000
27,12474,9.000000,-2.611111,6,-19.000000,3,-4.500000,1,6.166667,-3.166667,10.000000,6,6.166667
28,12936,11.388889,2.388889,6,13.000000,3,8.500000,1,8.333333,2.166667,11.000000,6,8.333333
29,13398,15.500000,4.111111,6,53.000000,2,-16.000000,4,17.166667,8.833333,12.000000,4,13.500000
30,13860,12.944444,-2.555556,6,-31.000000,3,8.000000,1,12.000000,-5.166667,0.000000,3,2.666667
