frame,tick,d,dd,m0,m1,calls,s2b,pairs
1,778,4.000000,0.000000,0,0,0,0,0
2,1556,4.000000,0.000000,1,1,0,0,0
3,2334,4.000000,0.000000,27,27,0,0,0
4,3112,4.000000,0.000000,93,93,24,0,0
5,3890,7.000000,3.000000,386,251,24,24,24
6,4668,7.000000,-3.000000,532,385,0,0,0
7,5446,7.000000,0.000000,532,385,0,0,0
8,6224,7.000000,0.000000,532,385,0,0,0
9,7002,7.000000,0.000000,532,385,0,0,0
10,7780,7.000000,0.000000,532,385,24,0,0
11,8558,10.000000,3.000000,590,385,24,12,12
12,9336,10.000000,-3.000000,679,385,0,0,0
13,10114,10.000000,0.000000,679,385,0,0,0
14,10892,10.000000,0.000000,679,385,0,0,0
15,11670,10.000000,0.000000,679,385,0,0,0
16,12448,10.000000,0.000000,679,385,24,0,0
17,13226,18.000000,8.000000,853,385,24,4,4
18,14004,18.000000,-8.000000,1064,385,0,0,0
19,14782,18.000000,0.000000,1064,385,0,0,0
20,15560,18.000000,0.000000,1064,385,0,0,0
21,16338,18.000000,0.000000,1064,385,0,0,0
22,17116,18.000000,0.000000,1064,385,24,0,0
23,17894,7.000000,-11.000000,930,385,24,12,12
24,18672,7.000000,11.000000,1064,385,0,0,0
25,19450,7.000000,0.000000,1064,385,0,0,0
26,20228,7.000000,0.000000,1064,385,0,0,0
