frame,tick,k_x,p1_x,p2_x,k_unwrapped,p_unwrapped,dx_k,dx_p,phase_p,contact_p1_k,contact_p2_k,kick,wrap,distance
0,0,10,2,2,10,2,0,0,0,0,0,0,0,8
1,271,10,3,3,10,3,0,1,1,0,0,0,0,7
2,542,10,4,4,10,4,0,1,2,0,0,0,0,6
3,813,10,5,5,10,5,0,1,3,0,0,0,0,5
4,1084,10,6,6,10,6,0,1,2,0,0,0,0,4
5,1355,10,7,7,10,7,0,1,1,0,0,0,0,3
6,1626,10,8,8,10,8,0,1,0,0,0,0,0,2
7,1897,10,9,9,10,9,0,1,1,0,0,0,0,1
8,2168,10,10,10,10,10,0,1,2,0,0,0,0,0
9,2439,10,11,11,10,11,0,1,3,0,0,0,0,1
10,2710,10,12,12,10,12,0,1,2,0,0,0,0,2
11,2981,10,13,13,10,13,0,1,1,0,0,0,0,3
12,3252,10,14,14,10,14,0,1,0,0,0,0,0,4
13,3523,10,15,15,10,15,0,1,1,0,0,0,0,5
14,3794,10,16,16,10,16,0,1,2,0,0,0,0,6
15,4065,10,0,0,10,17,0,1,3,0,0,0,1,7
16,4336,10,1,1,10,18,0,1,2,0,0,0,0,8
17,4607,10,2,2,10,19,0,1,1,0,0,0,0,8
18,4878,10,3,3,10,20,0,1,0,0,0,0,0,7
19,5149,10,4,4,10,21,0,1,1,0,0,0,0,6
20,5420,10,5,5,10,22,0,1,2,0,0,0,0,5
21,5691,10,6,6,10,23,0,1,3,0,0,0,0,4
22,5962,10,7,7,10,24,0,1,2,0,0,0,0,3
23,6233,10,8,8,10,25,0,1,1,0,0,0,0,2
24,6504,10,9,9,10,26,0,1,0,0,0,0,0,1
25,6775,10,10,10,10,27,0,1,1,0,0,0,0,0
26,7046,10,11,11,10,28,0,1,2,0,0,0,0,1
27,7317,10,12,12,10,29,0,1,3,0,0,0,0,2
28,7588,10,13,13,10,30,0,1,2,0,0,0,0,3
29,7859,10,14,14,10,31,0,1,1,0,0,0,0,4
30,8130,10,15,15,10,32,0,1,0,0,0,0,0,5
31,8401,10,16,16,10,33,0,1,1,0,0,0,0,6
32,8672,10,0,0,10,34,0,1,2,0,0,0,1,7
33,8943,10,1,1,10,35,0,1,3,0,0,0,0,8
34,9214,10,2,2,10,36,0,1,2,0,0,0,0,8
35,9485,10,3,3,10,37,0,1,1,0,0,0,0,7
36,9756,10,4,4,10,38,0,1,0,0,0,0,0,6
37,10027,10,5,5,10,39,0,1,1,0,0,0,0,5
38,10298,10,6,6,10,40,0,1,2,0,0,0,0,4
39,10569,10,7,7,10,41,0,1,3,0,0,0,0,3
