frame,tick,k_x,p1_x,p2_x,k_unwrapped,p_unwrapped,dx_k,dx_p,phase_p,contact_p1_k,contact_p2_k,kick,wrap,distance
0,0,6,14,14,6,14,0,0,0,0,0,0,0,8
1,271,6,13,13,6,13,0,-1,1,0,0,0,0,7
2,542,6,12,12,6,12,0,-1,2,0,0,0,0,6
3,813,6,11,11,6,11,0,-1,3,0,0,0,0,5
4,1084,5,10,10,5,10,-1,-1,2,1,1,1,0,5
5,1355,5,9,9,5,9,0,-1,1,0,0,0,0,4
6,1626,5,8,8,5,8,0,-1,0,0,0,0,0,3
7,1897,5,7,7,5,7,0,-1,1,0,0,0,0,2
8,2168,4,6,6,4,6,-1,-1,2,1,1,1,0,2
9,2439,3,5,5,3,5,-1,-1,3,1,1,1,0,2
10,2710,2,4,4,2,4,-1,-1,2,1,1,1,0,2
11,2981,1,3,3,1,3,-1,-1,1,1,1,1,0,2
12,3252,0,2,2,0,2,-1,-1,0,1,1,1,0,2
13,3523,0,1,1,0,1,0,-1,1,0,0,0,0,1
14,3794,16,0,0,-1,0,-1,-1,2,1,1,1,1,1
15,4065,15,16,16,-2,-1,-1,-1,3,1,1,1,1,1
16,4336,14,15,15,-3,-2,-1,-1,2,1,1,1,0,1
17,4607,13,14,14,-4,-3,-1,-1,1,1,1,1,0,1
18,4878,12,13,13,-5,-4,-1,-1,0,1,1,1,0,1
19,5149,12,12,12,-5,-5,0,-1,1,0,0,0,0,0
20,5420,11,11,11,-6,-6,-1,-1,2,1,1,1,0,0
21,5691,10,10,10,-7,-7,-1,-1,3,1,1,1,0,0
22,5962,9,9,9,-8,-8,-1,-1,2,1,1,1,0,0
23,6233,8,8,8,-9,-9,-1,-1,1,1,1,1,0,0
24,6504,7,7,7,-10,-10,-1,-1,0,1,1,1,0,0
25,6775,6,6,6,-11,-11,-1,-1,1,1,1,1,0,0
26,7046,5,5,5,-12,-12,-1,-1,2,1,1,1,0,0
27,7317,4,4,4,-13,-13,-1,-1,3,1,1,1,0,0
28,7588,3,3,3,-14,-14,-1,-1,2,1,1,1,0,0
29,7859,2,2,2,-15,-15,-1,-1,1,1,1,1,0,0
30,8130,1,1,1,-16,-16,-1,-1,0,1,1,1,0,0
31,8401,0,0,0,-17,-17,-1,-1,1,1,1,1,0,0
32,8672,16,16,16,-18,-18,-1,-1,2,1,1,1,1,0
33,8943,15,15,15,-19,-19,-1,-1,3,1,1,1,0,0
34,9214,14,14,14,-20,-20,-1,-1,2,1,1,1,0,0
35,9485,13,13,13,-21,-21,-1,-1,1,1,1,1,0,0
36,9756,12,12,12,-22,-22,-1,-1,0,1,1,1,0,0
37,10027,11,11,11,-23,-23,-1,-1,1,1,1,1,0,0
38,10298,10,10,10,-24,-24,-1,-1,2,1,1,1,0,0
39,10569,9,9,9,-25,-25,-1,-1,3,1,1,1,0,0
40,10840,8,8,8,-26,-26,-1,-1,2,1,1,1,0,0
41,11111,7,7,7,-27,-27,-1,-1,1,1,1,1,0,0
42,11382,6,6,6,-28,-28,-1,-1,0,1,1,1,0,0
43,11653,5,5,5,-29,-29,-1,-1,1,1,1,1,0,0
44,11924,4,4,4,-30,-30,-1,-1,2,1,1,1,0,0
45,12195,3,3,3,-31,-31,-1,-1,3,1,1,1,0,0
46,12466,2,2,2,-32,-32,-1,-1,2,1,1,1,0,0
47,12737,1,1,1,-33,-33,-1,-1,1,1,1,1,0,0
48,13008,0,0,0,-34,-34,-1,-1,0,1,1,1,0,0
49,13279,16,16,16,-35,-35,-1,-1,1,1,1,1,1,0
50,13550,15,15,15,-36,-36,-1,-1,2,1,1,1,0,0
51,13821,14,14,14,-37,-37,-1,-1,3,1,1,1,0,0
52,14092,13,13,13,-38,-38,-1,-1,2,1,1,1,0,0
53,14363,12,12,12,-39,-39,-1,-1,1,1,1,1,0,0
54,14634,11,11,11,-40,-40,-1,-1,0,1,1,1,0,0
55,14905,10,10,10,-41,-41,-1,-1,1,1,1,1,0,0
56,15176,9,9,9,-42,-42,-1,-1,2,1,1,1,0,0
57,15447,8,8,8,-43,-43,-1,-1,3,1,1,1,0,0
58,15718,7,7,7,-44,-44,-1,-1,2,1,1,1,0,0
59,15989,6,6,6,-45,-45,-1,-1,1,1,1,1,0,0
60,16260,5,5,5,-46,-46,-1,-1,0,1,1,1,0,0
61,16531,4,4,4,-47,-47,-1,-1,1,1,1,1,0,0
62,16802,3,3,3,-48,-48,-1,-1,2,1,1,1,0,0
63,17073,2,2,2,-49,-49,-1,-1,3,1,1,1,0,0
64,17344,1,1,1,-50,-50,-1,-1,2,1,1,1,0,0
65,17615,0,0,0,-51,-51,-1,-1,1,1,1,1,0,0
66,17886,16,16,16,-52,-52,-1,-1,0,1,1,1,1,0
67,18157,15,15,15,-53,-53,-1,-1,1,1,1,1,0,0
68,18428,14,14,14,-54,-54,-1,-1,2,1,1,1,0,0
69,18699,13,13,13,-55,-55,-1,-1,3,1,1,1,0,0
70,18970,12,12,12,-56,-56,-1,-1,2,1,1,1,0,0
71,19241,11,11,11,-57,-57,-1,-1,1,1,1,1,0,0
72,19512,10,10,10,-58,-58,-1,-1,0,1,1,1,0,0
73,19783,9,9,9,-59,-59,-1,-1,1,1,1,1,0,0
74,20054,8,8,8,-60,-60,-1,-1,2,1,1,1,0,0
75,20325,7,7,7,-61,-61,-1,-1,3,1,1,1,0,0
76,20596,6,6,6,-62,-62,-1,-1,2,1,1,1,0,0
77,20867,5,5,5,-63,-63,-1,-1,1,1,1,1,0,0
78,21138,4,4,4,-64,-64,-1,-1,0,1,1,1,0,0
79,21409,3,3,3,-65,-65,-1,-1,1,1,1,1,0,0
80,21680,2,2,2,-66,-66,-1,-1,2,1,1,1,0,0
81,21951,1,1,1,-67,-67,-1,-1,3,1,1,1,0,0
82,22222,0,0,0,-68,-68,-1,-1,2,1,1,1,0,0
83,22493,16,16,16,-69,-69,-1,-1,1,1,1,1,1,0
84,22764,15,15,15,-70,-70,-1,-1,0,1,1,1,0,0
85,23035,14,14,14,-71,-71,-1,-1,1,1,1,1,0,0
86,23306,13,13,13,-72,-72,-1,-1,2,1,1,1,0,0
87,23577,12,12,12,-73,-73,-1,-1,3,1,1,1,0,0
88,23848,11,11,11,-74,-74,-1,-1,2,1,1,1,0,0
89,24119,10,10,10,-75,-75,-1,-1,1,1,1,1,0,0
90,24390,9,9,9,-76,-76,-1,-1,0,1,1,1,0,0
91,24661,8,8,8,-77,-77,-1,-1,1,1,1,1,0,0
92,24932,7,7,7,-78,-78,-1,-1,2,1,1,1,0,0
93,25203,6,6,6,-79,-79,-1,-1,3,1,1,1,0,0
94,25474,5,5,5,-80,-80,-1,-1,2,1,1,1,0,0
95,25745,4,4,4,-81,-81,-1,-1,1,1,1,1,0,0
96,26016,3,3,3,-82,-82,-1,-1,0,1,1,1,0,0
97,26287,2,2,2,-83,-83,-1,-1,1,1,1,1,0,0
98,26558,1,1,1,-84,-84,-1,-1,2,1,1,1,0,0
99,26829,0,0,0,-85,-85,-1,-1,3,1,1,1,0,0
100,27100,16,16,16,-86,-86,-1,-1,2,1,1,1,1,0
101,27371,15,15,15,-87,-87,-1,-1,1,1,1,1,0,0
102,27642,14,14,14,-88,-88,-1,-1,0,1,1,1,0,0
103,27913,13,13,13,-89,-89,-1,-1,1,1,1,1,0,0
104,28184,12,12,12,-90,-90,-1,-1,2,1,1,1,0,0
105,28455,11,11,11,-91,-91,-1,-1,3,1,1,1,0,0
106,28726,10,10,10,-92,-92,-1,-1,2,1,1,1,0,0
107,28997,9,9,9,-93,-93,-1,-1,1,1,1,1,0,0
108,29268,8,8,8,-94,-94,-1,-1,0,1,1,1,0,0
109,29539,7,7,7,-95,-95,-1,-1,1,1,1,1,0,0
110,29810,6,6,6,-96,-96,-1,-1,2,1,1,1,0,0
111,30081,5,5,5,-97,-97,-1,-1,3,1,1,1,0,0
112,30352,4,4,4,-98,-98,-1,-1,2,1,1,1,0,0
113,30623,3,3,3,-99,-99,-1,-1,1,1,1,1,0,0
114,30894,2,2,2,-100,-100,-1,-1,0,1,1,1,0,0
115,31165,1,1,1,-101,-101,-1,-1,1,1,1,1,0,0
116,31436,0,0,0,-102,-102,-1,-1,2,1,1,1,0,0
117,31707,16,16,16,-103,-103,-1,-1,3,1,1,1,1,0
118,31978,15,15,15,-104,-104,-1,-1,2,1,1,1,0,0
119,32249,14,14,14,-105,-105,-1,-1,1,1,1,1,0,0
120,32520,13,13,13,-106,-106,-1,-1,0,1,1,1,0,0
