frame,tick,k_x,p1_x,p2_x,k_unwrapped,p_unwrapped,dx_k,dx_p,phase_p,contact_p1_k,contact_p2_k,kick,wrap,distance
0,0,10,2,2,10,2,0,0,0,0,0,0,0,8
1,781,10,3,3,10,3,0,1,1,0,0,0,0,7
2,1562,10,4,4,10,4,0,1,2,0,0,0,0,6
3,2343,10,5,5,10,5,0,1,3,0,0,0,0,5
4,3124,11,6,6,11,6,1,1,2,1,1,1,0,5
5,3905,11,7,7,11,7,0,1,1,0,0,0,0,4
6,4686,11,8,8,11,8,0,1,0,0,0,0,0,3
7,5467,11,9,9,11,9,0,1,1,0,0,0,0,2
8,6248,12,10,10,12,10,1,1,2,1,1,1,0,2
9,7029,13,11,11,13,11,1,1,3,1,1,1,0,2
10,7810,14,12,12,14,12,1,1,2,1,1,1,0,2
11,8591,15,13,13,15,13,1,1,1,1,1,1,0,2
12,9372,16,14,14,16,14,1,1,0,1,1,1,0,2
13,10153,16,15,15,16,15,0,1,1,0,0,0,0,1
14,10934,17,16,16,17,16,1,1,2,1,1,1,0,1
15,11715,18,17,17,18,17,1,1,3,1,1,1,0,1
16,12496,19,18,18,19,18,1,1,2,1,1,1,0,1
17,13277,20,19,19,20,19,1,1,1,1,1,1,0,1
18,14058,21,20,20,21,20,1,1,0,1,1,1,0,1
19,14839,21,21,21,21,21,0,1,1,0,0,0,0,0
20,15620,22,22,22,22,22,1,1,2,1,1,1,0,0
21,16401,23,23,23,23,23,1,1,3,1,1,1,0,0
22,17182,24,24,24,24,24,1,1,2,1,1,1,0,0
23,17963,25,25,25,25,25,1,1,1,1,1,1,0,0
24,18744,26,26,26,26,26,1,1,0,1,1,1,0,0
25,19525,27,27,27,27,27,1,1,1,1,1,1,0,0
26,20306,28,28,28,28,28,1,1,2,1,1,1,0,0
27,21087,29,29,29,29,29,1,1,3,1,1,1,0,0
28,21868,30,30,30,30,30,1,1,2,1,1,1,0,0
29,22649,31,31,31,31,31,1,1,1,1,1,1,0,0
30,23430,32,32,32,32,32,1,1,0,1,1,1,0,0
31,24211,33,33,33,33,33,1,1,1,1,1,1,0,0
32,24992,34,34,34,34,34,1,1,2,1,1,1,0,0
33,25773,35,35,35,35,35,1,1,3,1,1,1,0,0
34,26554,36,36,36,36,36,1,1,2,1,1,1,0,0
35,27335,37,37,37,37,37,1,1,1,1,1,1,0,0
36,28116,38,38,38,38,38,1,1,0,1,1,1,0,0
37,28897,39,39,39,39,39,1,1,1,1,1,1,0,0
38,29678,40,40,40,40,40,1,1,2,1,1,1,0,0
39,30459,41,41,41,41,41,1,1,3,1,1,1,0,0
40,31240,42,42,42,42,42,1,1,2,1,1,1,0,0
41,32021,43,43,43,43,43,1,1,1,1,1,1,0,0
42,32802,44,44,44,44,44,1,1,0,1,1,1,0,0
43,33583,45,45,45,45,45,1,1,1,1,1,1,0,0
44,34364,46,46,46,46,46,1,1,2,1,1,1,0,0
45,35145,47,47,47,47,47,1,1,3,1,1,1,0,0
46,35926,48,48,48,48,48,1,1,2,1,1,1,0,0
47,36707,49,49,49,49,49,1,1,1,1,1,1,0,0
48,37488,50,50,50,50,50,1,1,0,1,1,1,0,0
49,38269,0,0,0,51,51,1,1,1,1,1,1,1,0
50,39050,1,1,1,52,52,1,1,2,1,1,1,0,0
51,39831,2,2,2,53,53,1,1,3,1,1,1,0,0
52,40612,3,3,3,54,54,1,1,2,1,1,1,0,0
53,41393,4,4,4,55,55,1,1,1,1,1,1,0,0
54,42174,5,5,5,56,56,1,1,0,1,1,1,0,0
55,42955,6,6,6,57,57,1,1,1,1,1,1,0,0
56,43736,7,7,7,58,58,1,1,2,1,1,1,0,0
57,44517,8,8,8,59,59,1,1,3,1,1,1,0,0
58,45298,9,9,9,60,60,1,1,2,1,1,1,0,0
59,46079,10,10,10,61,61,1,1,1,1,1,1,0,0
60,46860,11,11,11,62,62,1,1,0,1,1,1,0,0
61,47641,12,12,12,63,63,1,1,1,1,1,1,0,0
62,48422,13,13,13,64,64,1,1,2,1,1,1,0,0
63,49203,14,14,14,65,65,1,1,3,1,1,1,0,0
64,49984,15,15,15,66,66,1,1,2,1,1,1,0,0
65,50765,16,16,16,67,67,1,1,1,1,1,1,0,0
66,51546,17,17,17,68,68,1,1,0,1,1,1,0,0
67,52327,18,18,18,69,69,1,1,1,1,1,1,0,0
68,53108,19,19,19,70,70,1,1,2,1,1,1,0,0
69,53889,20,20,20,71,71,1,1,3,1,1,1,0,0
70,54670,21,21,21,72,72,1,1,2,1,1,1,0,0
71,55451,22,22,22,73,73,1,1,1,1,1,1,0,0
72,56232,23,23,23,74,74,1,1,0,1,1,1,0,0
