frame,tick,d,dd,m0,m1,calls,s2b,pairs
1,778,4.000000,0.000000,0,0,0,0,0
2,1556,4.000000,0.000000,1,1,0,0,0
3,2334,4.000000,0.000000,27,27,0,0,0
4,3112,4.000000,0.000000,93,93,24,0,0
5,3890,4.000000,0.000000,251,251,24,0,0
6,4668,4.000000,0.000000,385,385,0,0,0
7,5446,4.000000,0.000000,385,385,0,0,0
8,6224,4.000000,0.000000,385,385,0,0,0
9,7002,4.000000,0.000000,385,385,0,0,0
10,7780,4.000000,0.000000,385,385,24,0,0
11,8558,4.000000,0.000000,385,385,24,0,0
12,9336,4.000000,0.000000,385,385,0,0,0
13,10114,4.000000,0.000000,385,385,0,0,0
14,10892,4.000000,0.000000,385,385,0,0,0
15,11670,4.000000,0.000000,385,385,0,0,0
16,12448,4.000000,0.000000,385,385,24,0,0
