frame,tick,d,dd,m0,m1,calls,s2b,pairs
1,778,6.000000,0.000000,0,0,0,0,0
2,1556,6.000000,0.000000,1,1,0,0,0
3,2334,6.000000,0.000000,27,27,0,0,0
4,3112,6.000000,0.000000,93,93,0,0,0
5,3890,6.000000,0.000000,251,251,0,0,0
6,4668,6.000000,0.000000,385,385,0,0,0
7,5446,6.000000,0.000000,385,385,0,0,0
8,6224,6.000000,0.000000,385,385,0,0,0
9,7002,6.000000,0.000000,385,385,0,0,0
10,7780,6.000000,0.000000,385,385,0,0,0
11,8558,6.000000,0.000000,385,385,0,0,0
12,9336,6.000000,0.000000,385,385,0,0,0
13,10114,6.000000,0.000000,385,385,0,0,0
14,10892,6.000000,0.000000,385,385,0,0,0
15,11670,6.000000,0.000000,385,385,0,0,0
16,12448,6.000000,0.000000,385,385,0,0,0
