run,island,frame,N,captures,escapes
ref_co,0,1,3,0,0
ref_co,0,2,3,0,0
ref_co,0,3,4,3,2
ref_co,0,4,4,0,0
ref_co,0,5,4,0,0
ref_co,0,6,4,0,0
ref_co,0,7,4,0,0
ref_co,0,8,4,0,0
ref_co,0,9,4,0,0
ref_co,0,10,4,0,0
ref_co,0,11,4,0,0
ref_co,0,12,4,0,0
ref_co,0,13,4,0,0
ref_co,0,14,4,0,0
ref_co,0,15,4,0,0
ref_co,0,16,4,0,0
ref_co,0,17,4,0,0
ref_co,0,18,4,0,0
ref_co,0,19,4,0,0
ref_co,0,20,4,0,0
ref_co,0,21,4,0,0
ref_co,0,22,4,0,0
ref_co,0,23,4,0,0
ref_co,0,24,4,0,0
ref_co,0,25,4,0,0
ref_co,0,26,4,0,0
ref_co,0,27,4,0,0
ref_co,0,28,4,0,0
ref_co,0,29,4,0,0
ref_co,0,30,4,0,0
ref_co,0,31,4,0,0
ref_co,0,32,4,0,0
ref_co,0,33,4,0,0
ref_co,0,34,4,0,0
ref_co,0,35,4,0,0
ref_co,0,36,4,0,0
ref_co,0,37,4,0,0
ref_co,0,38,4,0,0
ref_co,0,39,4,0,0
ref_co,0,40,4,0,0
ref_co,1,3,1,1,0
ref_co,1,4,1,0,0
ref_co,1,5,1,0,0
ref_co,1,6,1,0,0
ref_co,1,7,1,0,0
ref_co,1,8,1,0,0
ref_co,1,9,1,0,0
ref_co,1,10,1,0,0
ref_co,1,11,1,0,0
ref_co,1,12,1,0,0
ref_co,1,13,1,0,0
ref_co,1,14,1,0,0
ref_co,1,15,1,0,0
ref_co,1,16,1,0,0
ref_co,1,17,1,0,0
ref_co,1,18,1,0,0
ref_co,1,19,1,0,0
ref_co,1,20,1,0,0
ref_co,1,21,1,0,0
ref_co,1,22,1,0,0
ref_co,1,23,1,0,0
ref_co,1,24,1,0,0
ref_co,1,25,1,0,0
ref_co,1,26,1,0,0
ref_co,1,27,1,0,0
ref_co,1,28,1,0,0
ref_co,1,29,1,0,0
ref_co,1,30,1,0,0
ref_co,1,31,1,0,0
ref_co,1,32,1,0,0
ref_co,1,33,1,0,0
ref_co,1,34,1,0,0
ref_co,1,35,1,0,0
ref_co,1,36,1,0,0
ref_co,1,37,1,0,0
ref_co,1,38,1,0,0
ref_co,1,39,1,0,0
ref_co,1,40,1,0,0
ref_co,2,3,1,1,0
ref_co,2,4,1,0,0
ref_co,2,5,1,0,0
ref_co,2,6,1,0,0
ref_co,2,7,1,0,0
ref_co,2,8,1,0,0
ref_co,2,9,1,0,0
ref_co,2,10,1,0,0
ref_co,2,11,1,0,0
ref_co,2,12,1,0,0
ref_co,2,13,1,0,0
ref_co,2,14,1,0,0
ref_co,2,15,1,0,0
ref_co,2,16,1,0,0
ref_co,2,17,1,0,0
ref_co,2,18,1,0,0
ref_co,2,19,1,0,0
ref_co,2,20,1,0,0
ref_co,2,21,1,0,0
ref_co,2,22,1,0,0
ref_co,2,23,1,0,0
ref_co,2,24,1,0,0
ref_co,2,25,1,0,0
ref_co,2,26,1,0,0
ref_co,2,27,1,0,0
ref_co,2,28,1,0,0
ref_co,2,29,1,0,0
ref_co,2,30,1,0,0
ref_co,2,31,1,0,0
ref_co,2,32,1,0,0
ref_co,2,33,1,0,0
ref_co,2,34,1,0,0
ref_co,2,35,1,0,0
ref_co,2,36,1,0,0
ref_co,2,37,1,0,0
ref_co,2,38,1,0,0
ref_co,2,39,1,0,0
ref_co,2,40,1,0,0
