run,island,frame,N,captures,escapes
att,0,0,30,2,1
att,0,1,31,2,0
att,0,2,33,1,1
att,0,3,33,4,1
att,0,4,36,1,1
att,0,5,36,2,1
att,0,6,37,1,1
att,0,7,37,2,4
att,0,8,35,1,1
att,0,9,35,1,3
att,0,10,33,1,4
att,0,11,30,3,3
att,0,12,30,0,2
att,0,13,28,3,3
att,0,14,28,3,1
att,0,15,30,3,1
att,0,16,32,1,4
att,0,17,29,1,0
att,0,18,30,1,0
att,0,19,31,2,1
att,0,20,32,2,7
att,0,21,27,2,2
att,0,22,27,2,1
att,0,23,28,4,1
att,0,24,31,4,3
att,0,25,32,0,4
att,0,26,28,2,3
att,0,27,27,1,3
att,0,28,25,2,4
att,0,29,23,2,0
att,0,30,25,5,2
att,0,31,28,3,0
att,0,32,31,2,2
att,0,33,31,4,2
att,0,34,33,3,4
att,0,35,32,2,3
att,0,36,31,3,1
att,0,37,33,2,1
att,0,38,34,2,0
att,0,39,36,1,4
att,0,40,33,5,2
att,0,41,36,3,2
att,0,42,37,1,0
att,0,43,38,2,2
att,0,44,38,0,0
att,0,45,38,0,1
att,0,46,37,1,3
att,0,47,35,1,3
att,0,48,33,4,2
att,0,49,35,2,1
att,0,50,36,0,4
att,0,51,32,0,2
att,0,52,30,2,3
att,0,53,29,2,1
att,0,54,30,2,3
att,0,55,29,3,2
att,0,56,30,6,2
att,0,57,34,2,2
att,0,58,34,0,2
att,0,59,32,1,0
att,0,60,33,4,4
att,0,61,33,3,2
att,0,62,34,2,0
att,0,63,36,3,4
att,0,64,35,3,1
att,0,65,37,2,3
att,0,66,36,3,4
att,0,67,35,1,1
att,0,68,35,0,3
att,0,69,32,0,2
att,0,70,30,1,2
att,0,71,29,1,1
att,0,72,29,2,1
att,0,73,30,2,5
att,0,74,27,2,3
att,0,75,26,6,5
att,0,76,27,0,3
att,0,77,24,0,0
att,0,78,24,2,1
att,0,79,25,2,2
att,0,80,25,4,3
att,0,81,26,2,1
att,0,82,27,3,1
att,0,83,29,3,1
att,0,84,31,2,4
att,0,85,29,2,6
att,0,86,25,0,1
att,0,87,24,3,0
att,0,88,27,3,0
att,0,89,30,4,1
att,0,90,33,1,3
att,0,91,31,0,2
att,0,92,29,2,4
att,0,93,27,2,2
att,0,94,27,3,3
att,0,95,27,1,3
att,0,96,25,4,1
att,0,97,28,3,1
att,0,98,30,1,1
att,0,99,30,3,2
att,0,100,31,1,1
att,0,101,31,1,2
att,0,102,30,3,2
att,0,103,31,2,3
att,0,104,30,3,3
att,0,105,30,4,0
att,0,106,34,4,2
att,0,107,36,1,4
att,0,108,33,1,1
att,0,109,33,0,4
att,0,110,29,1,2
att,0,111,28,2,2
att,0,112,28,2,2
att,0,113,28,2,2
att,0,114,28,0,1
att,0,115,27,3,1
att,0,116,29,0,2
att,0,117,27,1,1
att,0,118,27,3,3
att,0,119,27,1,2
att,0,120,26,0,2
att,0,121,24,1,2
att,0,122,23,0,0
att,0,123,23,2,1
att,0,124,24,4,0
att,0,125,28,0,4
att,0,126,24,3,1
att,0,127,26,2,3
att,0,128,25,3,1
att,0,129,27,1,2
att,0,130,26,1,3
att,0,131,24,4,1
att,0,132,27,6,1
att,0,133,32,3,2
att,0,134,33,3,1
att,0,135,35,2,1
att,0,136,36,0,0
att,0,137,36,1,3
att,0,138,34,0,2
att,0,139,32,4,1
att,0,140,35,1,1
att,0,141,35,1,2
att,0,142,34,1,2
att,0,143,33,1,0
att,0,144,34,2,2
att,0,145,34,0,2
att,0,146,32,0,1
att,0,147,31,3,3
att,0,148,31,1,1
att,0,149,31,5,1
att,0,150,35,0,3
att,0,151,32,1,3
att,0,152,30,3,3
att,0,153,30,4,2
att,0,154,32,0,0
att,0,155,32,3,0
att,0,156,35,0,5
att,0,157,30,1,1
att,0,158,30,4,1
att,0,159,33,3,0
att,0,160,36,5,2
att,0,161,39,1,2
att,0,162,38,0,6
att,0,163,32,1,4
att,0,164,29,1,2
att,0,165,28,0,3
att,0,166,25,4,1
att,0,167,28,3,0
att,0,168,31,3,4
att,0,169,30,0,2
att,0,170,28,2,4
att,0,171,26,3,3
att,0,172,26,4,1
att,0,173,29,2,1
att,0,174,30,3,4
att,0,175,29,2,3
att,0,176,28,1,1
att,0,177,28,3,2
att,0,178,29,5,2
att,0,179,32,1,2
att,0,180,31,0,2
att,0,181,29,2,0
att,0,182,31,2,0
att,0,183,33,3,1
att,0,184,35,3,5
