run,island,frame,N,captures,escapes
candADDR_L9,0,1,1,0,0
candADDR_L9,0,2,4,3,0
candADDR_L9,0,3,4,0,0
candADDR_L9,0,4,4,0,0
candADDR_L9,0,5,4,0,0
candADDR_L9,0,6,4,0,0
candADDR_L9,0,7,4,0,0
candADDR_L9,0,8,4,0,0
candADDR_L9,0,9,4,0,0
candADDR_L9,0,10,4,0,0
candADDR_L9,0,11,4,0,0
candADDR_L9,0,12,4,0,0
candADDR_L9,0,13,4,0,0
candADDR_L9,0,14,4,0,0
candADDR_L9,0,15,4,0,0
candADDR_L9,0,16,4,0,0
candADDR_L9,0,17,4,0,0
candADDR_L9,0,18,4,0,0
candADDR_L9,0,19,4,0,0
candADDR_L9,0,20,4,0,0
candADDR_L9,1,1,1,0,0
candADDR_L9,1,2,1,0,0
candADDR_L9,1,3,1,0,0
candADDR_L9,1,4,1,0,0
candADDR_L9,1,5,1,0,0
candADDR_L9,1,6,1,0,0
candADDR_L9,1,7,1,0,0
candADDR_L9,1,8,1,0,0
candADDR_L9,1,9,1,0,0
candADDR_L9,1,10,1,0,0
candADDR_L9,1,11,1,0,0
candADDR_L9,1,12,1,0,0
candADDR_L9,1,13,1,0,0
candADDR_L9,1,14,1,0,0
candADDR_L9,1,15,1,0,0
candADDR_L9,1,16,1,0,0
candADDR_L9,1,17,1,0,0
candADDR_L9,1,18,1,0,0
candADDR_L9,1,19,1,0,0
candADDR_L9,1,20,1,0,0
candADDR_L9,2,1,1,0,0
candADDR_L9,2,2,1,0,0
candADDR_L9,2,3,1,0,0
candADDR_L9,2,4,1,0,0
candADDR_L9,2,5,1,0,0
candADDR_L9,2,6,1,0,0
candADDR_L9,2,7,1,0,0
candADDR_L9,2,8,1,0,0
candADDR_L9,2,9,1,0,0
candADDR_L9,2,10,1,0,0
candADDR_L9,2,11,1,0,0
candADDR_L9,2,12,1,0,0
candADDR_L9,2,13,1,0,0
candADDR_L9,2,14,1,0,0
candADDR_L9,2,15,1,0,0
candADDR_L9,2,16,1,0,0
candADDR_L9,2,17,1,0,0
candADDR_L9,2,18,1,0,0
candADDR_L9,2,19,1,0,0
candADDR_L9,2,20,1,0,0
candADDR_L9,3,1,1,0,0
candADDR_L9,3,2,4,3,0
candADDR_L9,3,3,4,0,0
candADDR_L9,3,4,4,0,0
candADDR_L9,3,5,4,0,0
candADDR_L9,3,6,4,0,0
