run,island,frame,N,captures,escapes
cand_turnover,0,1,1,0,0
cand_turnover,0,2,2,1,0
cand_turnover,0,3,2,0,0
cand_turnover,0,4,2,0,0
cand_turnover,0,5,2,0,0
cand_turnover,0,6,2,0,0
cand_turnover,0,7,2,0,0
cand_turnover,0,8,2,0,0
cand_turnover,0,9,2,0,0
cand_turnover,0,10,2,0,0
cand_turnover,0,11,2,0,0
cand_turnover,0,12,2,0,0
cand_turnover,0,13,2,0,0
cand_turnover,0,14,2,0,0
cand_turnover,0,15,2,0,0
cand_turnover,0,16,2,0,0
cand_turnover,0,17,2,0,0
cand_turnover,0,18,2,0,0
cand_turnover,0,19,2,0,0
cand_turnover,0,20,2,0,0
cand_turnover,1,1,1,0,0
cand_turnover,1,2,2,1,0
cand_turnover,1,3,2,0,0
cand_turnover,1,4,2,0,0
cand_turnover,1,5,2,0,0
cand_turnover,1,6,2,0,0
cand_turnover,1,7,2,0,0
cand_turnover,1,8,2,0,0
cand_turnover,1,9,3,1,0
cand_turnover,1,10,3,0,0
cand_turnover,1,11,3,0,0
cand_turnover,1,12,3,0,0
cand_turnover,1,13,2,0,1
cand_turnover,1,14,2,0,0
cand_turnover,1,15,2,0,0
cand_turnover,1,16,2,0,0
cand_turnover,1,17,2,0,0
cand_turnover,1,18,2,0,0
cand_turnover,1,19,2,0,0
cand_turnover,1,20,2,0,0
cand_turnover,2,1,1,0,0
cand_turnover,2,2,2,1,0
cand_turnover,2,3,2,0,0
cand_turnover,2,4,2,0,0
cand_turnover,2,5,2,0,0
cand_turnover,2,6,2,0,0
cand_turnover,2,7,2,0,0
cand_turnover,2,8,2,0,0
cand_turnover,2,9,2,0,0
cand_turnover,2,10,2,0,0
cand_turnover,2,11,3,1,0
cand_turnover,2,12,3,0,0
cand_turnover,2,13,2,0,1
cand_turnover,2,14,2,0,0
cand_turnover,2,15,2,0,0
cand_turnover,2,16,2,0,0
cand_turnover,2,17,2,0,0
cand_turnover,2,18,2,0,0
cand_turnover,2,19,2,0,0
cand_turnover,2,20,2,0,0
cand_turnover,3,1,1,0,0
cand_turnover,3,2,2,1,0
cand_turnover,3,3,2,0,0
cand_turnover,3,4,2,0,0
cand_turnover,3,5,2,0,0
cand_turnover,3,6,2,0,0
cand_turnover,3,7,2,0,0
cand_turnover,3,8,2,0,0
cand_turnover,3,9,2,0,0
cand_turnover,3,10,3,1,0
cand_turnover,3,11,3,1,1
cand_turnover,3,12,4,1,0
cand_turnover,3,13,2,0,2
cand_turnover,3,14,2,0,0
cand_turnover,3,15,2,0,0
cand_turnover,3,16,3,1,0
cand_turnover,3,17,2,0,1
cand_turnover,3,18,3,1,0
cand_turnover,3,19,4,1,0
cand_turnover,3,20,2,0,2
cand_turnover,4,1,1,0,0
cand_turnover,4,2,2,1,0
cand_turnover,4,3,2,0,0
cand_turnover,4,4,2,0,0
cand_turnover,4,5,2,0,0
cand_turnover,4,6,2,0,0
cand_turnover,4,7,2,0,0
cand_turnover,4,8,2,0,0
cand_turnover,4,9,2,0,0
cand_turnover,4,10,1,0,1
cand_turnover,4,11,2,1,0
cand_turnover,4,12,1,0,1
cand_turnover,4,13,2,1,0
cand_turnover,4,14,2,0,0
cand_turnover,4,15,2,0,0
cand_turnover,4,16,1,0,1
cand_turnover,4,17,2,1,0
cand_turnover,4,18,2,0,0
cand_turnover,4,19,2,0,0
cand_turnover,4,20,2,0,0
cand_turnover,5,1,1,0,0
cand_turnover,5,2,2,1,0
cand_turnover,5,3,2,0,0
cand_turnover,5,4,2,0,0
cand_turnover,5,5,2,0,0
cand_turnover,5,6,2,0,0
cand_turnover,5,7,2,0,0
cand_turnover,5,8,2,0,0
cand_turnover,5,9,2,0,0
cand_turnover,5,10,2,0,0
cand_turnover,5,11,1,0,1
cand_turnover,5,12,1,0,0
cand_turnover,5,13,2,1,0
cand_turnover,5,14,2,0,0
cand_turnover,5,15,2,0,0
cand_turnover,5,16,1,0,1
cand_turnover,5,17,2,1,0
cand_turnover,5,18,2,0,0
cand_turnover,5,19,2,0,0
cand_turnover,5,20,2,0,0
cand_turnover,6,1,1,0,0
cand_turnover,6,2,2,1,0
cand_turnover,6,3,2,0,0
cand_turnover,6,4,2,0,0
cand_turnover,6,5,2,0,0
cand_turnover,6,6,2,0,0
cand_turnover,6,7,2,0,0
cand_turnover,6,8,2,0,0
cand_turnover,6,9,2,0,0
cand_turnover,6,10,3,1,0
cand_turnover,6,11,3,0,0
cand_turnover,6,12,3,0,0
cand_turnover,6,13,2,0,1
cand_turnover,6,14,2,0,0
cand_turnover,6,15,2,0,0
cand_turnover,6,16,3,1,0
cand_turnover,6,17,2,0,1
cand_turnover,6,18,4,2,0
cand_turnover,6,19,4,0,0
cand_turnover,6,20,3,1,2
cand_turnover,7,1,1,0,0
cand_turnover,7,2,2,1,0
cand_turnover,7,3,2,0,0
cand_turnover,7,4,2,0,0
cand_turnover,7,5,2,0,0
cand_turnover,7,6,2,0,0
cand_turnover,7,7,2,0,0
cand_turnover,7,8,2,0,0
cand_turnover,7,9,2,0,0
cand_turnover,7,10,1,0,1
cand_turnover,7,11,1,0,0
cand_turnover,7,12,1,0,0
