run,island,frame,N,captures,escapes
mv_ref_co,0,1,1,0,0
mv_ref_co,0,2,1,0,0
mv_ref_co,0,3,2,1,0
mv_ref_co,0,4,2,0,0
mv_ref_co,0,5,2,0,0
mv_ref_co,0,6,2,0,0
mv_ref_co,0,7,2,0,0
mv_ref_co,0,8,2,0,0
mv_ref_co,0,9,2,0,0
mv_ref_co,0,10,2,0,0
mv_ref_co,0,11,2,0,0
mv_ref_co,0,12,2,0,0
mv_ref_co,0,13,2,0,0
mv_ref_co,0,14,2,0,0
mv_ref_co,0,15,2,0,0
mv_ref_co,0,16,2,0,0
mv_ref_co,0,17,2,0,0
mv_ref_co,0,18,2,0,0
mv_ref_co,0,19,3,1,0
mv_ref_co,0,20,3,0,0
mv_ref_co,0,21,3,0,0
mv_ref_co,0,22,3,0,0
mv_ref_co,0,23,2,0,1
mv_ref_co,0,24,2,0,0
mv_ref_co,0,25,2,0,0
mv_ref_co,0,26,2,0,0
mv_ref_co,0,27,2,0,0
mv_ref_co,0,28,2,0,0
mv_ref_co,0,29,2,0,0
mv_ref_co,0,30,2,0,0
mv_ref_co,0,31,2,0,0
mv_ref_co,0,32,2,0,0
mv_ref_co,0,33,2,0,0
mv_ref_co,0,34,2,0,0
mv_ref_co,0,35,3,1,0
mv_ref_co,0,36,3,0,0
mv_ref_co,0,37,3,0,0
mv_ref_co,0,38,3,0,0
mv_ref_co,0,39,3,0,0
mv_ref_co,0,40,3,0,0
mv_ref_co,0,41,3,0,0
mv_ref_co,0,42,3,0,0
mv_ref_co,0,43,2,0,1
mv_ref_co,0,44,2,0,0
mv_ref_co,0,45,2,0,0
mv_ref_co,0,46,2,0,0
mv_ref_co,0,47,2,0,0
mv_ref_co,0,48,2,0,0
mv_ref_co,0,49,2,0,0
mv_ref_co,0,50,2,0,0
mv_ref_co,0,51,2,0,0
mv_ref_co,0,52,2,0,0
mv_ref_co,0,53,2,0,0
mv_ref_co,0,54,2,0,0
mv_ref_co,0,55,2,0,0
mv_ref_co,0,56,2,0,0
mv_ref_co,0,57,2,0,0
mv_ref_co,0,58,2,0,0
mv_ref_co,0,59,2,0,0
mv_ref_co,0,60,2,0,0
mv_ref_co,0,61,2,0,0
mv_ref_co,0,62,2,0,0
mv_ref_co,0,63,2,0,0
mv_ref_co,0,64,2,0,0
mv_ref_co,0,65,2,0,0
mv_ref_co,0,66,2,0,0
mv_ref_co,0,67,2,0,0
mv_ref_co,0,68,2,0,0
mv_ref_co,0,69,2,0,0
mv_ref_co,0,70,2,0,0
mv_ref_co,0,71,2,0,0
mv_ref_co,0,72,2,0,0
mv_ref_co,0,73,2,0,0
mv_ref_co,0,74,2,0,0
mv_ref_co,0,75,2,0,0
mv_ref_co,0,76,2,0,0
mv_ref_co,0,77,2,0,0
mv_ref_co,0,78,2,0,0
