run,island,frame,N,captures,escapes
ref_L9,0,1,1,0,0
ref_L9,0,2,2,1,0
ref_L9,0,3,2,0,0
ref_L9,0,4,2,0,0
ref_L9,1,1,1,0,0
ref_L9,1,2,2,1,0
ref_L9,1,3,2,0,0
ref_L9,1,4,2,0,0
ref_L9,2,1,1,0,0
ref_L9,2,2,2,1,0
ref_L9,2,3,2,0,0
ref_L9,2,4,2,0,0
ref_L9,3,1,1,0,0
ref_L9,3,2,2,1,0
ref_L9,3,3,2,0,0
ref_L9,3,4,2,0,0
ref_L9,4,1,1,0,0
ref_L9,4,2,2,1,0
ref_L9,4,3,2,0,0
ref_L9,4,4,2,0,0
ref_L9,5,1,1,0,0
ref_L9,5,2,2,1,0
ref_L9,5,3,2,0,0
ref_L9,5,4,2,0,0
ref_L9,6,1,1,0,0
ref_L9,6,2,2,1,0
ref_L9,6,3,2,0,0
ref_L9,6,4,2,0,0
ref_L9,7,1,1,0,0
ref_L9,7,2,2,1,0
ref_L9,7,3,2,0,0
ref_L9,7,4,2,0,0
ref_L9,8,1,1,0,0
ref_L9,8,2,2,1,0
ref_L9,8,3,2,0,0
ref_L9,8,4,2,0,0
ref_L9,9,1,1,0,0
ref_L9,9,2,2,1,0
ref_L9,9,3,2,0,0
ref_L9,9,4,2,0,0
ref_L9,10,1,1,0,0
ref_L9,10,2,2,1,0
ref_L9,10,3,2,0,0
ref_L9,10,4,2,0,0
ref_L9,11,1,1,0,0
ref_L9,11,2,2,1,0
ref_L9,11,3,2,0,0
ref_L9,11,4,2,0,0
ref_L9,12,1,1,0,0
ref_L9,12,2,2,1,0
ref_L9,12,3,2,0,0
ref_L9,12,4,2,0,0
ref_L9,13,1,1,0,0
ref_L9,13,2,2,1,0
ref_L9,13,3,2,0,0
ref_L9,13,4,2,0,0
ref_L9,14,1,1,0,0
ref_L9,14,2,2,1,0
ref_L9,14,3,2,0,0
ref_L9,14,4,2,0,0
ref_L9,15,1,1,0,0
ref_L9,15,2,2,1,0
ref_L9,15,3,2,0,0
ref_L9,15,4,2,0,0
ref_L9,16,1,1,0,0
ref_L9,16,2,2,1,0
ref_L9,16,3,2,0,0
ref_L9,16,4,2,0,0
ref_L9,17,1,1,0,0
ref_L9,17,2,2,1,0
ref_L9,17,3,2,0,0
ref_L9,17,4,2,0,0
ref_L9,18,1,1,0,0
ref_L9,18,2,2,1,0
ref_L9,18,3,2,0,0
ref_L9,18,4,2,0,0
ref_L9,19,1,1,0,0
ref_L9,19,2,2,1,0
ref_L9,19,3,2,0,0
ref_L9,19,4,2,0,0
ref_L9,20,1,1,0,0
ref_L9,20,2,2,1,0
ref_L9,20,3,2,0,0
ref_L9,20,4,2,0,0
